id,code,description
GPR_20G00a1,20GP,GENERAL PURPOSE CONTAINER
GPR_20G00b1,20G0,GENERAL PURPOSE CONTAINER
GPR_20G00c1,20G1,GENERAL PURPOSE CONTAINER
ICTR_20H00a2,20HR,INSULATED CONTAINER
ICTR_20H00b2,20H0,INSULATED CONTAINER
FT_FE_20P00a3,20PF,FLAT (FIXED ENDS)
FT_FE_20P00b3,20P1,FLAT (FIXED ENDS)
TKCONT_20T00a4,20TD,TANK CONTAINER
TKCONT_20T00b4,20T3,TANK CONTAINER
TKCONT_20T00c4,20T4,TANK CONTAINER
TKCONT_20T00d4,20T5,TANK CONTAINER
TKCONT_20T00e4,20T6,TANK CONTAINER
TKCONT_20T00f4,20TG,TANK CONTAINER
TKCONT_20T00g4,20T7,TANK CONTAINER
TKCONT_20T00h4,20T8,TANK CONTAINER
TKCONT_20T00i4,20TN,TANK CONTAINER
TKCONT_20T00j4,20T0,TANK CONTAINER
TKCONT_20T00k4,20T1,TANK CONTAINER
TKCONT_20T00l4,20T2,TANK CONTAINER
BULCONT_22B00a5,22BU,BULK CONTAINER
BULCONT_22B00b5,22B0,BULK CONTAINER
GPR_20G00d1,22GP,GENERAL PURPOSE CONT.
GPR_20G00e1,22G0,GENERAL PURPOSE CONT.
GPR_20G00f1,22G1,GENERAL PURPOSE CONT.
INSTCONT_22H00a6,22H0,INSULATED CONTAINER
INSTCONT_22H00b6,22HR,INSULATED CONTAINER
FLT_COLL_P00a7,22PC,FLAT (COLLAPSIBLE)
FLT_COLL_P00b7,22P3,FLAT (COLLAPSIBLE)
FLT_COLL_P00c7,22P9,FLAT (COLLAPSIBLE)
FLT_COLL_P00d7,22P8,FLAT (COLL.FLUSH FOLDING)
FT_FE_22P00a8,22PF,FLAT (FIXED ENDS)
FT_FE_22P00b8,22P1,FLAT (FIXED ENDS)
FT_FGTCR_20P00a9,22P7,FLAT (GENSET CARRIER)
RFRCONT_NF_22Ra10,22RC,REEFER CONT.(NO FOOD)
RFRCONT_NF_22Rb10,22R9,REEFER CONT.(NO FOOD)
BTINGFPSOR_22Ra00a11,22RS,BUILT-IN GEN. F. POWER SPLY OF REEF
BTINGFPSOR_22Ra00b11,22R7,BUILT-IN GEN. F. POWER SPLY OF REEF
RFRCONT_22Ra12,22RT,REEFER CONTAINER
RFRCONT_22Rb12,22R1,REEFER CONTAINER
NDCGCONT_22S00a13,22SN,NAMED CARGO CONTAINER
NDCGCONT_22S00b13,22S1,NAMED CARGO CONTAINER
TKCONT_22T00a13,22TD,TANK CONTAINER
TKCONT_22T00b13,22T3,TANK CONTAINER
TKCONT_22T00c13,22T4,TANK CONTAINER
TKCONT_22T00d13,22T5,TANK CONTAINER
TKCONT_22T00e13,22T6,TANK CONTAINER
TKCONT_22T00f13,22TG,TANK CONTAINER
TKCONT_22T00g13,22T7,TANK CONTAINER
TKCONT_22T00h13,22T8,TANK CONTAINER
TKCONT_22T00i13,22TN,TANK CONTAINER
TKCONT_22T00j13,22T0,TANK CONTAINER
TKCONT_22T00k13,22T1,TANK CONTAINER
TKCONT_22T00l13,22T2,TANK CONTAINER
HDTP_CONT_22U00a14,22UP,HARDTOP CONTAINER
HDTP_CONT_22U00b14,22U6,HARDTOP CONTAINER
OTP_CONT_22U00a15,22UT,OPEN TOP CONTAINER
OTP_CONT_22U00b15,22U1,OPEN TOP CONTAINER
VTD_CONT_22V00a16,22VH,VENTILATED CONTAINER
VTD_CONT_22V00b16,22V0,VENTILATED CONTAINER
VTD_CONT_22V00c16,22V2,VENTILATED CONTAINER
VTD_CONT_22V00d16,22V3,VENTILATED CONTAINER
GP_CONT_OVHT_2500a17,25GP,GP-CONTAINER OVER-HEIGHT
GP_CONT_OVHT_2500b17,25G0,GP-CONTAINER OVER-HEIGHT
GP_CONT_OVHT_2500c17,26GP,GP-CONTAINER OVER-HEIGHT
GP_CONT_OVHT_2500d17,26G0,GP-CONTAINER OVER-HEIGHT
INTD_CONT_26H00a18,26HR,INSULATED CONTAINER
INTD_CONT_26H00b18,26H0,INSULATED CONTAINER
TKFG_2800a19,28TG,TANK FOR GAS
TKFG_2800b19,28T8,TANK FOR GAS
OTP_HLFWGHT_28U00a20,28UT,OPEN TOP (HALF HEIGHT)
OTP_HLFWGHT_28U00b20,28U1,OPEN TOP (HALF HEIGHT)
VEHW_1448MMHT_28v00a21,28VH,VE-HALF-HEIGHT =1448 MM HEIGHT
VEHW_1448MMHT_28v00b21,28V0,VE-HALF-HEIGHT =1448 MM HEIGHT
PLTFM_2900a22,29PL,PLATFORM
PLTFM_2900a22,29P0,PLATFORM
GEN_PURP_WO_VENTWH_EG00a23,2EGP,GEN. PURP. WITHOUT VENT WIDTH 2.5M
HGH_CUB_CONT_WD00a24,2EG0,HIGH CUBE CONT. (WIDTH 2.5M)
GPR_CONT_42G00a25,42GP,GENERAL PURPOSE CONT.
